"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Nov 27 18:08:12 GMT 2023","Mon Nov 27 18:08:17 GMT 2023","4397","chromium","registration.existing.user.spec.ts","Registration and login","","","Register existing user",""
"passed","Mon Nov 27 18:08:07 GMT 2023","Mon Nov 27 18:08:12 GMT 2023","5700","chromium","invalid.login.spec.ts","Invalid login with fake data","","","Should check sign in with invalid data (email and password)",""
"failed","Mon Nov 27 18:09:52 GMT 2023","Mon Nov 27 18:10:04 GMT 2023","11819","firefox","registration.spec.ts","Registration","","","Registration",""
"passed","Mon Nov 27 18:08:03 GMT 2023","Mon Nov 27 18:08:07 GMT 2023","4081","chromium","get.title.spec.ts","Page title check","","","Check if the main page has the correct title",""
"passed","Mon Nov 27 18:08:55 GMT 2023","Mon Nov 27 18:09:03 GMT 2023","7758","firefox","invalid.login.spec.ts","Invalid login with fake data","","","Should check sign in with invalid data (email and password)",""
"passed","Mon Nov 27 18:10:04 GMT 2023","Mon Nov 27 18:10:09 GMT 2023","5342","firefox","valid.login.spec.ts","Logging in","","","Logging in existing user",""
"failed","Mon Nov 27 18:08:38 GMT 2023","Mon Nov 27 18:08:47 GMT 2023","9235","chromium","registration.spec.ts","Registration","","","Registration",""
"passed","Mon Nov 27 18:08:47 GMT 2023","Mon Nov 27 18:08:51 GMT 2023","3808","chromium","valid.login.spec.ts","Logging in","","","Logging in existing user",""
"passed","Mon Nov 27 18:09:03 GMT 2023","Mon Nov 27 18:09:09 GMT 2023","5593","firefox","registration.existing.user.spec.ts","Registration and login","","","Register existing user",""
"passed","Mon Nov 27 18:08:51 GMT 2023","Mon Nov 27 18:08:55 GMT 2023","3930","firefox","get.title.spec.ts","Page title check","","","Check if the main page has the correct title",""
