"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Jan 03 15:54:28 GMT 2024","Wed Jan 03 15:54:32 GMT 2024","4182","chromium","valid.login.spec.ts","Logging in","","","Logging in existing user",""
"passed","Wed Jan 03 15:54:43 GMT 2024","Wed Jan 03 15:54:47 GMT 2024","4419","firefox","registration.existing.user.spec.ts","Registration and login","","","Register existing user",""
"passed","Wed Jan 03 15:53:48 GMT 2024","Wed Jan 03 15:53:53 GMT 2024","5351","chromium","invalid.login.spec.ts","Invalid login with fake data","","","Should check sign in with invalid data (email and password)",""
"passed","Wed Jan 03 15:53:45 GMT 2024","Wed Jan 03 15:53:48 GMT 2024","2635","chromium","get.title.spec.ts","Page title check","","","Check if the main page has the correct title",""
"passed","Wed Jan 03 15:54:36 GMT 2024","Wed Jan 03 15:54:43 GMT 2024","6357","firefox","invalid.login.spec.ts","Invalid login with fake data","","","Should check sign in with invalid data (email and password)",""
"passed","Wed Jan 03 15:53:53 GMT 2024","Wed Jan 03 15:53:57 GMT 2024","3906","chromium","registration.existing.user.spec.ts","Registration and login","","","Register existing user",""
"failed","Wed Jan 03 15:55:10 GMT 2024","Wed Jan 03 15:55:22 GMT 2024","11762","firefox","registration.spec.ts","Registration","","","Registration",""
"failed","Wed Jan 03 15:54:17 GMT 2024","Wed Jan 03 15:54:28 GMT 2024","10868","chromium","registration.spec.ts","Registration","","","Registration",""
"passed","Wed Jan 03 15:55:22 GMT 2024","Wed Jan 03 15:55:27 GMT 2024","4984","firefox","valid.login.spec.ts","Logging in","","","Logging in existing user",""
"passed","Wed Jan 03 15:54:33 GMT 2024","Wed Jan 03 15:54:36 GMT 2024","3544","firefox","get.title.spec.ts","Page title check","","","Check if the main page has the correct title",""
